"  freq              ;  reS11        ; imS11         ";;;mag S11;mag S11 dB
61148125;-0.545479;-0.798379;0.966931418;-0.292086565
61150000;-0.545801;-0.793998;0.96349964;-0.322968869
61151875;-0.548312;-0.798889;0.96895288;-0.273946842
61153750;-0.548837;-0.797138;0.967807338;-0.284221787
61155625;-0.552123;-0.793832;0.966958661;-0.291841849
61157500;-0.549699;-0.795377;0.966847228;-0.29284287
61159375;-0.551491;-0.793466;0.966297375;-0.297784008
61161250;-0.551947;-0.793943;0.966949315;-0.291925797
61163125;-0.555896;-0.792142;0.967734112;-0.284879004
61165000;-0.551491;-0.790865;0.964162731;-0.3169932
61166875;-0.55435;-0.793587;0.96803112;-0.282213619
61168750;-0.556377;-0.790735;0.966859455;-0.292733025
61170625;-0.5572;-0.790176;0.966876389;-0.292580904
61172500;-0.556118;-0.787608;0.96415434;-0.317068789
61174375;-0.555919;-0.789449;0.965544229;-0.304556551
61176250;-0.559861;-0.790298;0.968511883;-0.277900925
61178125;-0.559113;-0.789635;0.967538516;-0.286634749
61180000;-0.561425;-0.78855;0.967992321;-0.28256176
61181875;-0.56011;-0.788636;0.967300342;-0.288773169
61183750;-0.56131;-0.786769;0.966475233;-0.296185418
61185625;-0.563019;-0.786945;0.96761192;-0.285975806
61187500;-0.56342;-0.788791;0.969346862;-0.270415829
61189375;-0.567845;-0.784244;0.968238915;-0.280349332
61191250;-0.566796;-0.783805;0.96726831;-0.28906081
61193125;-0.565327;-0.783862;0.966454475;-0.296371975
61195000;-0.568808;-0.781895;0.966903476;-0.29233757
61196875;-0.567701;-0.782544;0.966777915;-0.293465581
61198750;-0.569286;-0.780825;0.966319942;-0.297581156
61200625;-0.570021;-0.782957;0.968475918;-0.278223476
61202500;-0.569014;-0.783011;0.967927248;-0.28314568
61204375;-0.574548;-0.777406;0.966677554;-0.294367311
61206250;-0.572174;-0.780393;0.967675731;-0.285403014
61208125;-0.572057;-0.780772;0.967912252;-0.283280256
61210000;-0.575778;-0.776841;0.966955141;-0.291873466
61211875;-0.576639;-0.777408;0.967923414;-0.283180092
61213750;-0.574329;-0.777253;0.966424351;-0.296642713
61215625;-0.574976;-0.775426;0.965340811;-0.306386658
61217500;-0.576219;-0.776324;0.966802611;-0.293243706
61219375;-0.576761;-0.77744;0.9680218;-0.282297247
61221250;-0.580311;-0.774065;0.967438619;-0.287531604
61223125;-0.579639;-0.774088;0.967054084;-0.29098473
61225000;-0.580684;-0.77256;0.966458929;-0.296331944
61226875;-0.582435;-0.771119;0.966361755;-0.297205323
61228750;-0.581614;-0.770547;0.965410547;-0.305759218
61230625;-0.583427;-0.773118;0.968554855;-0.277515556
61232500;-0.582446;-0.772246;0.967267919;-0.28906432
61234375;-0.585343;-0.768934;0.966377734;-0.297061705
61236250;-0.584719;-0.769392;0.966364506;-0.297180595
61238125;-0.589209;-0.768129;0.968085433;-0.281726292
61240000;-0.587099;-0.768826;0.967356529;-0.288268657
61241875;-0.58647;-0.765508;0.964338923;-0.315406072
61243750;-0.58795;-0.768484;0.967601602;-0.286068423
61245625;-0.59005;-0.765925;0.966850613;-0.29281246
61247500;-0.591045;-0.765571;0.96717793;-0.289872445
61249375;-0.59237;-0.763988;0.966736718;-0.293835724
61251250;-0.590126;-0.762525;0.964205928;-0.316604056
61253125;-0.592454;-0.765468;0.967958161;-0.282868286
61255000;-0.593509;-0.765175;0.968372714;-0.279149123
61256875;-0.594413;-0.76327;0.967423334;-0.287668834
61258750;-0.594515;-0.763125;0.96737162;-0.288133157
61260625;-0.596183;-0.760871;0.966622392;-0.294862974
61262500;-0.595799;-0.760896;0.966405283;-0.296814091
61264375;-0.596523;-0.761475;0.967307534;-0.288708594
61266250;-0.5987;-0.758349;0.966196096;-0.298694434
61268125;-0.599368;-0.757999;0.966335596;-0.297440452
61270000;-0.602147;-0.756797;0.967120835;-0.290385212
61271875;-0.600472;-0.756068;0.965507868;-0.304883654
61273750;-0.6008;-0.758097;0.967301246;-0.288765052
61275625;-0.601711;-0.755121;0.965538115;-0.304611549
61277500;-0.602435;-0.755033;0.96592068;-0.301170714
61279375;-0.60397;-0.755566;0.967295064;-0.288820566
61281250;-0.605778;-0.752711;0.966199169;-0.298666805
61283125;-0.6068;-0.752008;0.966293057;-0.297822818
61285000;-0.608408;-0.750886;0.966431622;-0.296577367
61286875;-0.605999;-0.751723;0.965568359;-0.30433948
61288750;-0.607533;-0.752456;0.967102052;-0.290553909
61290625;-0.608318;-0.749586;0.965365195;-0.30616726
61292500;-0.607474;-0.749593;0.964839016;-0.310902861
61294375;-0.613213;-0.751614;0.970027726;-0.264317049
61296250;-0.611221;-0.748996;0.966739944;-0.293806737
61298125;-0.611913;-0.75044;0.968296294;-0.279834606
61300000;-0.61228;-0.749153;0.967531403;-0.286698605
61301875;-0.615073;-0.746144;0.966977592;-0.291671793
61303750;-0.613989;-0.745676;0.965927114;-0.301112861
61305625;-0.614223;-0.747371;0.967384776;-0.288015028
61307500;-0.613921;-0.744877;0.965267185;-0.30704915
61309375;-0.617043;-0.743705;0.966353554;-0.297279038
61311250;-0.618316;-0.743739;0.96719304;-0.28973675
61313125;-0.619365;-0.742903;0.967221728;-0.28947912
61315000;-0.617385;-0.742624;0.965740464;-0.302791431
61316875;-0.617073;-0.739851;0.963409876;-0.323778118
61318750;-0.619467;-0.740316;0.965301582;-0.306739642
61320625;-0.62121;-0.741399;0.96725092;-0.289216975
61322500;-0.622065;-0.741587;0.967944287;-0.282992782
61324375;-0.622333;-0.73974;0.966702452;-0.294143598
61326250;-0.622308;-0.737636;0.965077259;-0.308758361
61328125;-0.623088;-0.736211;0.964492246;-0.314025192
61330000;-0.624542;-0.737675;0.966549076;-0.295521805
61331875;-0.625643;-0.737947;0.967468314;-0.287264999
61333750;-0.62928;-0.734763;0.967403734;-0.287844813
61335625;-0.629389;-0.733501;0.966516544;-0.295814152
61337500;-0.626872;-0.733716;0.965042835;-0.309068189
61339375;-0.629456;-0.734631;0.967417987;-0.28771684
61341250;-0.629958;-0.732657;0.96624705;-0.298236381
61343125;-0.633164;-0.732471;0.968199575;-0.280702248
61345000;-0.628473;-0.730331;0.963515273;-0.322827936
61346875;-0.630005;-0.729645;0.963995916;-0.31849612
61348750;-0.633561;-0.730349;0.966855316;-0.292770209
61350625;-0.633308;-0.729197;0.96581949;-0.302080696
61352500;-0.633365;-0.725966;0.963419875;-0.323687968
61354375;-0.634978;-0.727598;0.965710055;-0.303064935
61356250;-0.635844;-0.730111;0.968173365;-0.280937385
61358125;-0.636614;-0.729526;0.968238385;-0.280354085
61360000;-0.637506;-0.727645;0.967409503;-0.287793018
61361875;-0.641481;-0.724647;0.967786726;-0.284406774
61363750;-0.641643;-0.722911;0.966595082;-0.295108373
61365625;-0.639916;-0.724725;0.966808571;-0.293190164
61367500;-0.641617;-0.723578;0.967076779;-0.290780892
61369375;-0.640719;-0.722046;0.965334793;-0.306440808
61371250;-0.641293;-0.720906;0.96486381;-0.310679651
61373125;-0.643905;-0.721349;0.966932277;-0.292078846
61375000;-0.641216;-0.719216;0.963550525;-0.322510157
61376875;-0.64345;-0.719853;0.965513461;-0.304833336
61378750;-0.645032;-0.721507;0.967800926;-0.284279335
61380625;-0.646565;-0.720482;0.968060231;-0.281952413
61382500;-0.64803;-0.71709;0.96652002;-0.295782916
61384375;-0.649611;-0.715759;0.966594743;-0.295111423
61386250;-0.65033;-0.714421;0.966088233;-0.299664151
61388125;-0.649508;-0.715578;0.966391492;-0.296938042
61390000;-0.650369;-0.713691;0.965574792;-0.304281612
61391875;-0.652417;-0.713176;0.966575372;-0.295285499
61393750;-0.649393;-0.713195;0.964550868;-0.313497278
61395625;-0.651276;-0.712469;0.965283639;-0.306901094
61397500;-0.652417;-0.710103;0.964310226;-0.315664553
61399375;-0.650345;-0.708411;0.9616625;-0.339546378
61401250;-0.654325;-0.709852;0.965417561;-0.30569611
61403125;-0.656314;-0.712297;0.968563412;-0.277438815
61405000;-0.65367;-0.707101;0.962951864;-0.327908433
61406875;-0.655662;-0.708473;0.965311685;-0.30664873
61408750;-0.657618;-0.707652;0.966039744;-0.300100117
61410625;-0.659991;-0.709412;0.968944532;-0.274021677
61412500;-0.659138;-0.70738;0.966876087;-0.292583615
61414375;-0.658884;-0.705074;0.965016824;-0.309302301
61416250;-0.660135;-0.70812;0.968097181;-0.281620886
61418125;-0.663096;-0.703321;0.966621298;-0.294872799
61420000;-0.663011;-0.703343;0.966578999;-0.295252899
61421875;-0.665131;-0.701426;0.966642478;-0.294682482
61423750;-0.66521;-0.701919;0.967054614;-0.290979972
61425625;-0.66352;-0.701954;0.965918324;-0.301191902
61427500;-0.666552;-0.698993;0.965858573;-0.301729222
61429375;-0.665564;-0.698208;0.964608651;-0.31297695
61431250;-0.667936;-0.700395;0.96782832;-0.284033484
61433125;-0.667385;-0.698889;0.966358408;-0.297235407
61435000;-0.666785;-0.695806;0.963715843;-0.321020028
61436875;-0.668542;-0.696092;0.96513858;-0.308206477
61438750;-0.670222;-0.697806;0.967538497;-0.286634921
61440625;-0.669744;-0.693407;0.964038533;-0.318112136
61442500;-0.672702;-0.695319;0.967469117;-0.287257787
61444375;-0.67353;-0.693043;0.966411538;-0.296757873
61446250;-0.674705;-0.692044;0.966515253;-0.295825753
61448125;-0.674304;-0.691165;0.965605997;-0.304000912
61450000;-0.675371;-0.69065;0.965983131;-0.300609149
61451875;-0.67659;-0.691019;0.967099419;-0.290577551
61453750;-0.679298;-0.688695;0.967339948;-0.288417534
61455625;-0.675911;-0.690257;0.966079917;-0.29973892
61457500;-0.675126;-0.689225;0.964793354;-0.311313934
61459375;-0.676427;-0.688544;0.965218279;-0.307489242
61461250;-0.676108;-0.68603;0.963202569;-0.325647357
61463125;-0.678869;-0.686795;0.965686539;-0.303276448
61465000;-0.679937;-0.687987;0.967285085;-0.288910173
61466875;-0.681639;-0.685769;0.96690788;-0.292298011
61468750;-0.68249;-0.685036;0.966988584;-0.291573062
61470625;-0.684499;-0.683181;0.967096252;-0.290606001
61472500;-0.684497;-0.681542;0.9659377;-0.301017664
61474375;-0.683168;-0.683324;0.966255766;-0.29815803
61476250;-0.683528;-0.681491;0.965215266;-0.307516356
61478125;-0.686577;-0.679334;0.96585851;-0.301729791
61480000;-0.685902;-0.67889;0.965066415;-0.308855956
61481875;-0.685048;-0.677457;0.963451477;-0.32340306
61483750;-0.688625;-0.677449;0.965992515;-0.300524778
61485625;-0.687513;-0.678743;0.966108785;-0.299479372
61487500;-0.690481;-0.675241;0.965771412;-0.302513091
61489375;-0.690466;-0.677117;0.96707328;-0.29081232
61491250;-0.693439;-0.675114;0.967799855;-0.284288944
61493125;-0.695214;-0.673772;0.968138014;-0.281254541
61495000;-0.691366;-0.673102;0.964911005;-0.310254803
61496875;-0.69205;-0.672391;0.964905622;-0.310303264
61498750;-0.693479;-0.6729;0.966285431;-0.297891372
61500625;-0.69269;-0.671997;0.965090361;-0.308640443
61502500;-0.693827;-0.669338;0.964058745;-0.317930029
61504375;-0.695111;-0.67018;0.965567468;-0.304347502
61506250;-0.697112;-0.668314;0.965716699;-0.303005174
61508125;-0.69639;-0.666606;0.964013792;-0.318335053
61510000;-0.698793;-0.668366;0.966966787;-0.291768854
61511875;-0.700728;-0.667173;0.967543044;-0.286594101
61513750;-0.700238;-0.667131;0.967159257;-0.290040144
61515625;-0.702708;-0.664892;0.967408861;-0.287798777
61517500;-0.699703;-0.664739;0.965122907;-0.308347524
61519375;-0.701456;-0.663686;0.965670558;-0.303420189
61521250;-0.701075;-0.662378;0.964495086;-0.313999616
61523125;-0.700863;-0.660358;0.962954637;-0.327883424
61525000;-0.703199;-0.660691;0.964884154;-0.310496514
61526875;-0.704751;-0.663424;0.967887068;-0.283506258
61528750;-0.707041;-0.65887;0.96644537;-0.296453807
61530625;-0.705783;-0.658875;0.965528823;-0.304695139
61532500;-0.707005;-0.657108;0.965218625;-0.307486131
61534375;-0.709043;-0.65626;0.966136203;-0.299232871
61536250;-0.706788;-0.657368;0.96523674;-0.307323116
61538125;-0.707936;-0.655748;0.964976072;-0.30966911
61540000;-0.710661;-0.653492;0.965448523;-0.305417549
61541875;-0.708666;-0.654573;0.964714109;-0.312027398
61543750;-0.709253;-0.652829;0.963963444;-0.318788708
61545625;-0.712878;-0.656408;0.969054439;-0.273036496
61547500;-0.712339;-0.652015;0.965686497;-0.303276821
61549375;-0.712807;-0.650415;0.964952585;-0.309880522
61551250;-0.71388;-0.65125;0.966308034;-0.297688192
61553125;-0.716523;-0.648224;0.966229561;-0.298393599
61555000;-0.715985;-0.648876;0.966268381;-0.298044634
61556875;-0.717712;-0.646996;0.966288952;-0.297859717
61558750;-0.714193;-0.647188;0.963807008;-0.320198404
61560625;-0.716438;-0.646578;0.965062961;-0.308887048
61562500;-0.716991;-0.644692;0.964211527;-0.316553617
61564375;-0.718532;-0.645168;0.96567592;-0.303371956
61566250;-0.719934;-0.645722;0.967089378;-0.290667732
61568125;-0.720586;-0.644904;0.967029137;-0.291208801
61570000;-0.720061;-0.641593;0.964432176;-0.31456618
61571875;-0.721425;-0.643151;0.966487061;-0.296079114
61573750;-0.721868;-0.641752;0.965887695;-0.301467334
61575625;-0.721707;-0.639425;0.964222653;-0.316453393
61577500;-0.724241;-0.639197;0.965969891;-0.300728201
61579375;-0.72453;-0.639472;0.966368542;-0.297144317
61581250;-0.723642;-0.63767;0.964510639;-0.313859549
61583125;-0.725886;-0.636954;0.965722985;-0.302948641
61585000;-0.726351;-0.635211;0.96492424;-0.310135666
61586875;-0.725726;-0.635298;0.964511159;-0.313854867
61588750;-0.728258;-0.636545;0.96723795;-0.289333443
61590625;-0.728202;-0.63345;0.965161673;-0.307998648
61592500;-0.728966;-0.633671;0.965883205;-0.301507711
61594375;-0.728403;-0.63349;0.965339583;-0.306397711
61596250;-0.73076;-0.630245;0.964996859;-0.309482006
61598125;-0.731664;-0.631725;0.96664817;-0.294631338
61600000;-0.733001;-0.632145;0.967934795;-0.283077961
61601875;-0.732554;-0.62931;0.965746571;-0.302736506
61603750;-0.733337;-0.62793;0.96544251;-0.305471646
61605625;-0.73364;-0.628908;0.966308916;-0.297680261
61607500;-0.734818;-0.627973;0.966595873;-0.295101269
61609375;-0.735961;-0.624121;0.964969231;-0.30973069
61611250;-0.737305;-0.625445;0.966850615;-0.292812447
61613125;-0.736633;-0.624889;0.965978488;-0.300650902
61615000;-0.737684;-0.621845;0.964815468;-0.311114847
61616875;-0.737931;-0.621828;0.964993379;-0.309513325
61618750;-0.73822;-0.62348;0.966279503;-0.297944651
61620625;-0.741272;-0.618122;0.965173034;-0.30789641
61622500;-0.740393;-0.620184;0.965820888;-0.302068122
61624375;-0.738484;-0.617888;0.962883274;-0.328527148
61626250;-0.740842;-0.618664;0.965190144;-0.307742431
61628125;-0.742384;-0.619544;0.966937832;-0.292028946
61630000;-0.743866;-0.617128;0.966531735;-0.295677638
61631875;-0.746197;-0.614137;0.966423415;-0.296651123
61633750;-0.744081;-0.615997;0.965975589;-0.300676968
61635625;-0.745489;-0.613409;0.965414134;-0.305726944
61637500;-0.743162;-0.612715;0.963176738;-0.325880291
61639375;-0.746096;-0.612902;0.96556103;-0.304405412
61641250;-0.746919;-0.613436;0.966535938;-0.295639869
61643125;-0.74744;-0.612911;0.966605632;-0.295013576
61645000;-0.746705;-0.611228;0.964970479;-0.309719455
61646875;-0.749423;-0.608958;0.965642107;-0.303676101
61648750;-0.748755;-0.608688;0.964953435;-0.309872873
61650625;-0.74817;-0.606491;0.963114574;-0.326440909
61652500;-0.750755;-0.604753;0.964032811;-0.31816369
61654375;-0.752072;-0.604294;0.964771233;-0.311513093
61656250;-0.751007;-0.605433;0.964655706;-0.312553248
61658125;-0.753678;-0.606776;0.967578236;-0.286278182
61660000;-0.752665;-0.603869;0.964967549;-0.309745823
61661875;-0.755268;-0.601229;0.965352818;-0.306278631
61663750;-0.753028;-0.602131;0.964164358;-0.316978537
61665625;-0.756304;-0.60045;0.965679006;-0.303344201
61667500;-0.756706;-0.597705;0.964290017;-0.315846584
61669375;-0.758477;-0.600295;0.967285608;-0.288905483
61671250;-0.753975;-0.597398;0.961957728;-0.336880238
61673125;-0.758342;-0.59675;0.964983498;-0.309602267
61675000;-0.760601;-0.596503;0.96660732;-0.294998411
61676875;-0.760497;-0.594129;0.965062151;-0.308894333
61678750;-0.761455;-0.594912;0.966299128;-0.297768247
61680625;-0.759;-0.593073;0.963232362;-0.325378694
61682500;-0.76124;-0.592779;0.964817745;-0.311094354
61684375;-0.76109;-0.592638;0.964612765;-0.312939901
61686250;-0.764104;-0.591976;0.966587041;-0.295180637
61688125;-0.761737;-0.590844;0.964022764;-0.318254215
61690000;-0.764431;-0.590108;0.965702959;-0.303128756
61691875;-0.764296;-0.591489;0.966440693;-0.29649584
61693750;-0.765239;-0.586194;0.963957537;-0.318841935
61695625;-0.76653;-0.585613;0.964629891;-0.312785694
61697500;-0.767776;-0.584682;0.965055971;-0.308949956
61699375;-0.767697;-0.58408;0.964628493;-0.312798279
61701250;-0.767197;-0.586218;0.965527203;-0.304709713
61703125;-0.769334;-0.583755;0.965735318;-0.302837718
61705000;-0.77184;-0.580881;0.966001926;-0.300440151
61706875;-0.770006;-0.580083;0.964056807;-0.317947492
61708750;-0.770167;-0.580613;0.964504362;-0.313916081
61710625;-0.770006;-0.58113;0.96468716;-0.312270037
61712500;-0.770999;-0.580576;0.965146595;-0.308134343
61714375;-0.772356;-0.578202;0.964806376;-0.311196701
61716250;-0.774467;-0.57665;0.965569447;-0.304329699
61718125;-0.772922;-0.577583;0.964888874;-0.310454023
61720000;-0.772237;-0.575304;0.962976987;-0.327681833
61721875;-0.77433;-0.572921;0.96323695;-0.325337326
61723750;-0.77591;-0.572358;0.964173225;-0.316898658
61725625;-0.772274;-0.570929;0.960399424;-0.350962179
61727500;-0.777667;-0.576201;0.967870629;-0.283653777
61729375;-0.776907;-0.570546;0.963902083;-0.319341628
61731250;-0.780625;-0.568231;0.965537084;-0.30462083
61733125;-0.776963;-0.570053;0.963655502;-0.321563895
61735000;-0.78105;-0.569041;0.966357471;-0.297243827
61736875;-0.777838;-0.566747;0.962410576;-0.332792266
61738750;-0.779253;-0.566527;0.963425181;-0.323640133
61740625;-0.781048;-0.564257;0.963546543;-0.322546049
61742500;-0.78344;-0.562702;0.964578548;-0.313248022
61744375;-0.785834;-0.562613;0.966472174;-0.296212906
61746250;-0.780414;-0.561842;0.961619698;-0.339932978
61748125;-0.784725;-0.562046;0.965240401;-0.307290172
61750000;-0.784515;-0.561762;0.964904311;-0.310315063
61751875;-0.787278;-0.559715;0.96596456;-0.300776143
61753750;-0.788203;-0.556788;0.965026863;-0.309211945
61755625;-0.784817;-0.55905;0.963573882;-0.322299605
61757500;-0.787139;-0.557647;0.964654333;-0.312565613
61759375;-0.786923;-0.558461;0.964948961;-0.309913147
61761250;-0.788165;-0.556433;0.96479104;-0.31133477
61763125;-0.789481;-0.554826;0.964941521;-0.309980111
61765000;-0.789529;-0.553659;0.964310287;-0.315664003
61766875;-0.790963;-0.552037;0.964555502;-0.313455545
61768750;-0.791365;-0.552019;0.964874883;-0.310579976
61770625;-0.791183;-0.549964;0.963551213;-0.322503947
61772500;-0.789616;-0.550174;0.962384984;-0.333023236
61774375;-0.793076;-0.550986;0.965688932;-0.30325492
61776250;-0.793183;-0.5513;0.965955983;-0.300853262
61778125;-0.793209;-0.54936;0.964871456;-0.310610822
61780000;-0.795537;-0.54711;0.965509436;-0.304869552
61781875;-0.795967;-0.543949;0.96407675;-0.317767813
61783750;-0.795155;-0.545806;0.964456149;-0.314350272
61785625;-0.795136;-0.542358;0.962493355;-0.332045202
61787500;-0.796537;-0.543707;0.964410957;-0.314757281
61789375;-0.798458;-0.54583;0.967194689;-0.289721937
61791250;-0.797591;-0.542421;0.964557901;-0.313433943
61793125;-0.800479;-0.537739;0.96432871;-0.315498062
61795000;-0.798149;-0.539905;0.963607407;-0.321997405
61796875;-0.800878;-0.538448;0.965055345;-0.308955588
61798750;-0.801808;-0.538281;0.965734179;-0.302847961
61800625;-0.801401;-0.538376;0.965449263;-0.305410889
61802500;-0.801269;-0.537753;0.964992383;-0.309522293
61804375;-0.802433;-0.534624;0.964220691;-0.316471067
61806250;-0.801047;-0.532914;0.962119342;-0.335421091
61808125;-0.803564;-0.535851;0.965842325;-0.301875341
61810000;-0.803342;-0.529815;0.96232131;-0.333597941
61811875;-0.804333;-0.530236;0.963380398;-0.324043894
61813750;-0.80483;-0.530259;0.963808039;-0.320189113
61815625;-0.804613;-0.528957;0.962910997;-0.32827707
61817500;-0.805904;-0.528455;0.963714659;-0.321030698
61819375;-0.80719;-0.527763;0.964411468;-0.314752677
61821250;-0.806327;-0.525423;0.962409767;-0.332799563
61823125;-0.807555;-0.526078;0.963796213;-0.32029569
61825000;-0.807672;-0.525346;0.96349493;-0.32301133
61826875;-0.807997;-0.523475;0.962748787;-0.329740394
61828750;-0.80979;-0.5209;0.962858585;-0.328749863
61830625;-0.810659;-0.522053;0.964213332;-0.31653736
61832500;-0.808099;-0.520238;0.961078337;-0.344824233
61834375;-0.81275;-0.519903;0.964811739;-0.31114842
61836250;-0.811835;-0.517953;0.96299085;-0.327556786
61838125;-0.813576;-0.519815;0.965460275;-0.305311824
61840000;-0.814071;-0.51437;0.96295799;-0.327853182
61841875;-0.813001;-0.516488;0.963187666;-0.325781746
61843750;-0.812781;-0.515527;0.962486905;-0.332103413
61845625;-0.814371;-0.51358;0.962789978;-0.32936878
61847500;-0.815099;-0.510828;0.961941591;-0.337025945
61849375;-0.814855;-0.510278;0.961442826;-0.341530733
61851250;-0.815037;-0.511175;0.962073382;-0.335836021
61853125;-0.817139;-0.511805;0.964189039;-0.316756197
61855000;-0.818916;-0.510448;0.964976982;-0.309660919
61856875;-0.818436;-0.509189;0.963904001;-0.319324338
61858750;-0.817987;-0.507101;0.962420987;-0.332698302
61860625;-0.818664;-0.505535;0.96217274;-0.334939034
61862500;-0.819779;-0.504062;0.962349265;-0.333345617
61864375;-0.821285;-0.506106;0.964703236;-0.312125289
61866250;-0.821753;-0.505265;0.964660932;-0.312506196
61868125;-0.823661;-0.501588;0.964369206;-0.315133321
61870000;-0.821837;-0.501925;0.962987414;-0.327587776
61871875;-0.823429;-0.501707;0.964232976;-0.316360402
61873750;-0.821623;-0.498812;0.961185604;-0.343854847
61875625;-0.825164;-0.501711;0.965717119;-0.303001396
61877500;-0.823551;-0.497785;0.962302528;-0.333767464
61879375;-0.82728;-0.495193;0.964161971;-0.317000047
61881250;-0.825433;-0.497495;0.96376393;-0.320586635
61883125;-0.824515;-0.493862;0.961105957;-0.344574621
61885000;-0.828878;-0.49493;0.965398593;-0.305866767
61886875;-0.828086;-0.493905;0.964193224;-0.316718502
61888750;-0.827469;-0.493156;0.963279703;-0.32495181
61890625;-0.826756;-0.491329;0.961732639;-0.338912891
61892500;-0.826441;-0.490067;0.960817564;-0.347181332
61894375;-0.82919;-0.489474;0.962881536;-0.328542821
61896250;-0.830101;-0.485903;0.961857264;-0.33778742
61898125;-0.83113;-0.487118;0.963359239;-0.324234667
